headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes
縱容,甘やかす/見て見ぬふりをする,ㄗㄨㄥˋ ㄖㄨㄥˊ,zòngróng,状態動詞,7,common,ai,word,,
縱使,たとえ～だとしても,ㄗㄨㄥˋ ㄕˇ,zòngshǐ,接続詞,7,common,ai,word,,
走廊,廊下,ㄗㄡˇ ㄌㄤˊ,zǒuláng,名詞,7,common,ai,word,,
揍,殴る,ㄗㄡˋ,zòu,動詞,7,common,ai,word,,
租賃,賃貸する/リースする,ㄗㄨ ㄌㄧㄣˋ,zūlìn,動詞,7,common,ai,word,,
祖宗,先祖,ㄗㄨˇ ㄗㄨㄥ,zǔzōng,名詞,7,common,ai,word,,
阻擋,阻む/遮る,ㄗㄨˇ ㄉㄤˇ,zǔdǎng,動詞,7,common,ai,word,,
阻力,抵抗/抵抗力,ㄗㄨˇ ㄌㄧˋ,zǔlì,名詞,7,common,ai,word,,
阻撓,妨害する/阻止する,ㄗㄨˇ ㄋㄠˊ,zǔnáo,動詞,7,common,ai,word,,
阻塞,詰まる/塞がる,ㄗㄨˇ ㄙㄜˋ,zǔsè,状態動詞(形容詞),7,common,ai,word,,
組裝,組み立てる,ㄗㄨˇ ㄓㄨㄤ,zǔzhuāng,動詞,7,common,ai,word,,
鑽研,深く研究する/探究する,ㄗㄨㄢ ㄧㄢˊ,zuānyán,動詞,7,common,ai,word,,
嘴唇,くちびる,ㄗㄨㄟˇ ㄔㄨㄣˊ,zuǐchún/chún,名詞,7,common,ai,word,,原表記: 嘴唇/嘴脣/唇/脣
罪惡,罪悪/悪事,ㄗㄨㄟˋ ㄜˋ,zuìè,名詞,7,common,ai,word,,
罪名,罪名/汚名,ㄗㄨㄟˋ ㄇㄧㄥˊ,zuìmíng,名詞,7,common,ai,word,,
罪行,犯罪行為,ㄗㄨㄟˋ ㄒㄧㄥˋ,zuìxìng,名詞,7,common,ai,word,,
尊,尊ぶ/敬う,ㄗㄨㄣ,zūn,量詞/状態動詞,7,common,ai,word,,
尊嚴,尊厳/威厳,ㄗㄨㄣ ㄧㄢˊ,zūnyán,名詞,7,common,ai,word,,
遵循,従う/遵守する,ㄗㄨㄣ ㄒㄩㄣˊ,zūnxún,状態動詞,7,common,ai,word,,
作風,作風/やり方,ㄗㄨㄛˋ ㄈㄥ,zuòfēng,名詞,7,common,ai,word,,
作怪,悪さをする/怪奇現象,ㄗㄨㄛˋ ㄍㄨㄞˋ,zuòguài,自動詞,7,common,ai,word,,
作物,農作物,ㄗㄨㄛˋ ㄨˋ,zuòwù,名詞,7,common,ai,word,,
作戰,戦闘する/戦う,ㄗㄨㄛˋ ㄓㄢˋ,zuòzhàn,自動詞,7,common,ai,word,,
作證,証言する,ㄗㄨㄛˋ ㄓㄥˋ,zuòzhèng,離合動詞,7,common,ai,word,,原表記: 作證/做證
坐牢,服役する/投獄される,ㄗㄨㄛˋ ㄌㄠˊ,zuòláo,離合動詞,7,common,ai,word,,
坐鎮,陣頭指揮をとる,ㄗㄨㄛˋ ㄓㄣˋ,zuòzhèn,自動詞,7,common,ai,word,,
座談,座談会をする,ㄗㄨㄛˋ ㄊㄢˊ,zuòtán,自動詞,7,common,ai,word,,
座右銘,座右の銘,ㄗㄨㄛˋ ㄧㄡˋ ㄇㄧㄥˊ,zuòyòumíng,名詞,7,common,ai,word,,
